SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
12025,1610612738,BOS,Boston Celtics,0012500044,2025-10-10,BOS @ TOR,L,241,105,38,83,0.458,10,38,0.263,19,21,0.905,19,35,54,22,9,4,28,25,-2.0
12025,1610612751,BKN,Brooklyn Nets,0012500012,2025-10-10,PHX @ BKN,L,265,127,40,85,0.471,14,29,0.483,33,41,0.805,15,28,43,26,11,1,32,29,-5.0
12025,1610612753,ORL,Orlando Magic,0012500070,2025-10-10,ORL @ PHI,W,242,128,40,82,0.488,11,32,0.344,37,42,0.881,19,35,54,26,8,10,20,21,30.0
12025,1610612755,PHI,Philadelphia 76ers,0012500070,2025-10-10,PHI vs. ORL,L,240,98,38,98,0.388,8,34,0.235,14,20,0.7,14,22,36,21,14,6,15,29,-30.0
12025,1610612756,PHX,Phoenix Suns,0012500012,2025-10-10,PHX @ BKN,W,265,132,43,97,0.443,11,42,0.262,35,46,0.761,22,25,47,28,18,10,21,39,5.0
12025,1610612757,POR,Portland Trail Blazers,0012500017,2025-10-10,POR vs. SAC,W,242,124,43,91,0.473,10,37,0.27,28,40,0.7,20,30,50,17,5,6,17,31,1.0
12025,1610612758,SAC,Sacramento Kings,0012500017,2025-10-10,SAC @ POR,L,241,123,43,88,0.489,11,34,0.324,26,33,0.788,12,26,38,20,8,3,17,33,-1.0
12025,1610612759,SAS,San Antonio Spurs,0012500045,2025-10-10,SAS vs. UTA,W,263,134,44,92,0.478,13,48,0.271,33,42,0.786,13,36,49,30,2,4,14,24,4.0
12025,1610612761,TOR,Toronto Raptors,0012500044,2025-10-10,TOR vs. BOS,W,240,107,38,88,0.432,16,46,0.348,15,21,0.714,15,19,34,30,12,0,18,24,2.0
12025,1610612762,UTA,Utah Jazz,0012500045,2025-10-10,UTA @ SAS,L,267,130,41,86,0.477,14,41,0.341,34,37,0.919,7,33,40,26,7,1,11,29,-4.0
12025,1610612737,ATL,Atlanta Hawks,0012500018,2025-10-11,ATL @ MEM,W,240,122,44,85,0.518,9,31,0.29,25,30,0.833,9,39,48,31,6,3,18,33,6.0
12025,1610612766,CHA,Charlotte Hornets,0012500047,2025-10-11,CHA @ DAL,W,241,120,45,92,0.489,16,39,0.41,14,23,0.609,15,39,54,25,4,2,25,18,4.0
