,name,price,commence_time,home_team,away_team,bookmakers_key,bookmakers_markets_key
158,Cincinnati Reds,135,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betmgm,h2h
159,Milwaukee Brewers,-165,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,betmgm,h2h
160,Cincinnati Reds,142,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,bovada,h2h
161,Milwaukee Brewers,-172,2025-09-27T00:10:00Z,Milwaukee Brewers,Cincinnati Reds,bovada,h2h
162,Houston Astros,-128,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betonlineag,h2h
163,Los Angeles Angels,116,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betonlineag,h2h
164,Houston Astros,-128,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,lowvig,h2h
165,Los Angeles Angels,116,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,lowvig,h2h
166,Houston Astros,-138,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,fanduel,h2h
167,Los Angeles Angels,118,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,fanduel,h2h
168,Houston Astros,-137,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,mybookieag,h2h
169,Los Angeles Angels,116,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,mybookieag,h2h
170,Houston Astros,-135,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betmgm,h2h
171,Los Angeles Angels,115,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betmgm,h2h
172,Houston Astros,-138,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,draftkings,h2h
173,Los Angeles Angels,114,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,draftkings,h2h
174,Houston Astros,-136,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,bovada,h2h
175,Los Angeles Angels,114,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,bovada,h2h
176,Houston Astros,-143,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betrivers,h2h
177,Los Angeles Angels,118,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betrivers,h2h
178,Houston Astros,-128,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betus,h2h
179,Los Angeles Angels,117,2025-09-27T01:38:00Z,Los Angeles Angels,Houston Astros,betus,h2h
180,Los Angeles Dodgers,108,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,draftkings,h2h
181,Seattle Mariners,-132,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,draftkings,h2h
182,Los Angeles Dodgers,110,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,mybookieag,h2h
183,Seattle Mariners,-130,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,mybookieag,h2h
184,Los Angeles Dodgers,116,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betrivers,h2h
185,Seattle Mariners,-141,2025-09-27T01:40:00Z,Seattle Mariners,Los Angeles Dodgers,betrivers,h2h
